Trajectory Time [s]	Flow Trajectories 1_1				
-0.00220888	76.34115154	77.59806292	74.88496012	77.59807241	75.42198991
-0.002181562	73.65184577	74.94535959	72.15387682	74.94536528	72.70623111
-0.002150318	70.66881516	72.2159943	69.2769343	72.21599761	69.78394593
-0.002120799	68.21034991	69.34043289	66.2552668	69.34043281	67.3957108
-0.002021107	62.30757576	66.30420745	57.27372992	66.3042076	59.42639403
-0.001713701	51.68904976	57.31426505	47.09478868	57.31426611	50.10638719
-0.001092583	35.05598814	47.13550325	34.9941035	47.13550338	34.9941038
0	22.87130778	35.0249421	23.0767138	35.02494224	23.07671377
0.00212751	53.30467315	22.97400883	53.3189969	22.97400884	53.31899698
0.003726796	61.98312568	53.31195611	61.99317257	53.31195615	61.99317261
0.004707478	64.67038384	61.98822962	64.67893875	61.98822964	64.67893876
0.004763576	64.71671294	64.67472399	64.72522307	64.67472399	64.72522307
0.004770304	64.72227576	64.72103037	64.73170684	64.72103038	64.73170685
